weekDates,title,url,weeklyGross,theatreCount,totalGross,budget,week,year
January 6-12 2012,The Devil Inside,http://www.boxofficemojo.com/movies/?page=weekly&id=devilinside.htm,38346847,2285,38346847,1,1,2012
January 6-12 2012,Mission: Impossible - Ghost Protocol,http://www.boxofficemojo.com/movies/?page=weekly&id=mi4.htm,25545877,3555,175246789,145,4,2012
January 6-12 2012,Sherlock Holmes: A Game of Shadows,http://www.boxofficemojo.com/movies/?page=weekly&id=sherlockholmes2.htm,18239583,3603,161599644,0,4,2012
January 6-12 2012,The Girl with the Dragon Tattoo (2011),http://www.boxofficemojo.com/movies/?page=weekly&id=girldragontattoo11.htm,15644935,2950,81180849,90,3,2012
January 6-12 2012,War Horse,http://www.boxofficemojo.com/movies/?page=weekly&id=warhorse.htm,11946751,2783,60171963,66,3,2012
January 6-12 2012,Alvin and the Chipmunks: Chipwrecked,http://www.boxofficemojo.com/movies/?page=weekly&id=alvin3d.htm,10892834,3425,112981288,75,4,2012
January 6-12 2012,We Bought a Zoo,http://www.boxofficemojo.com/movies/?page=weekly&id=weboughtazoo.htm,10394425,3170,58488534,0,3,2012
January 6-12 2012,The Adventures of Tintin,http://www.boxofficemojo.com/movies/?page=weekly&id=tintin.htm,8424931,3006,63705206,0,3,2012
January 6-12 2012,Tinker, Tailor, Soldier, Spy,http://www.boxofficemojo.com/movies/?page=weekly&id=tinkertailorsoldierspy.htm,7291391,809,11942540,0,5,2012
January 6-12 2012,New Year's Eve,http://www.boxofficemojo.com/movies/?page=weekly&id=newyearseve.htm,3893330,1864,52654127,56,5,2012
January 6-12 2012,The Darkest Hour,http://www.boxofficemojo.com/movies/?page=weekly&id=darkesthour.htm,3882885,2163,19449174,30,3,2012
January 6-12 2012,The Descendants,http://www.boxofficemojo.com/movies/?page=weekly&id=descendents.htm,3627633,737,45004196,0,8,2012
January 6-12 2012,Hugo,http://www.boxofficemojo.com/movies/?page=weekly&id=hugocabret.htm,2086598,843,53116655,0,7,2012
January 6-12 2012,The Twilight Saga: Breaking Dawn Part 1,http://www.boxofficemojo.com/movies/?page=weekly&id=breakingdawn.htm,1926047,1058,278869685,110,8,2012
January 6-12 2012,Young Adult,http://www.boxofficemojo.com/movies/?page=weekly&id=youngadult.htm,1809323,830,15275827,12,5,2012
