weekDates,title,url,weeklyGross,theatreCount,totalGross,budget,week,year
November 8-14 2013,Thor: The Dark World,http://www.boxofficemojo.com/movies/?page=weekly&id=thor2.htm,108511114,3841,108511114,170,1,2013
November 8-14 2013,Last Vegas,http://www.boxofficemojo.com/movies/?page=weekly&id=lastvegas.htm,15662247,3082,38092983,28,2,2013
November 8-14 2013,Jackass Presents: Bad Grandpa,http://www.boxofficemojo.com/movies/?page=weekly&id=badgrandpa.htm,15085012,3187,82531638,15,3,2013
November 8-14 2013,Free Birds,http://www.boxofficemojo.com/movies/?page=weekly&id=turkeys.htm,14901754,3736,33918205,55,2,2013
November 8-14 2013,Ender's Game,http://www.boxofficemojo.com/movies/?page=weekly&id=endersgame.htm,13825284,3407,47576584,110,2,2013
November 8-14 2013,Gravity,http://www.boxofficemojo.com/movies/?page=weekly&id=gravity.htm,11561122,2720,234275614,100,6,2013
November 8-14 2013,12 Years a Slave,http://www.boxofficemojo.com/movies/?page=weekly&id=twelveyearsaslave.htm,9503204,1144,20248785,20,4,2013
November 8-14 2013,Captain Phillips,http://www.boxofficemojo.com/movies/?page=weekly&id=captainphillips.htm,7935442,2646,93117458,55,5,2013
November 8-14 2013,About Time,http://www.boxofficemojo.com/movies/?page=weekly&id=abouttime.htm,6587975,1200,8105648,0,2,2013
November 8-14 2013,Cloudy with a Chance of Meatballs 2,http://www.boxofficemojo.com/movies/?page=weekly&id=cloudy2.htm,3890318,1836,111066498,78,7,2013
November 8-14 2013,Carrie (2013),http://www.boxofficemojo.com/movies/?page=weekly&id=carrie2013.htm,1705294,1512,34470911,30,4,2013
November 8-14 2013,All Is Lost,http://www.boxofficemojo.com/movies/?page=weekly&id=allislost.htm,1638784,399,3320942,0,4,2013
November 8-14 2013,Escape Plan,http://www.boxofficemojo.com/movies/?page=weekly&id=tomb.htm,1210718,1049,23573553,0,4,2013
November 8-14 2013,The Counselor,http://www.boxofficemojo.com/movies/?page=weekly&id=counselor.htm,1187214,1022,16232251,25,3,2013
November 8-14 2013,Dallas Buyers Club,http://www.boxofficemojo.com/movies/?page=weekly&id=dallasbuyersclub.htm,906552,35,1260936,5,2,2013
November 8-14 2013,Enough Said,http://www.boxofficemojo.com/movies/?page=weekly&id=enoughsaid.htm,877038,429,16082714,0,8,2013
November 8-14 2013,Despicable Me 2,http://www.boxofficemojo.com/movies/?page=weekly&id=despicableme2.htm,646365,310,365525670,76,19,2013
November 8-14 2013,Krrish 3,http://www.boxofficemojo.com/movies/?page=weekly&id=krrish3.htm,640518,208,1983637,0,2,2013
November 8-14 2013,We're the Millers,http://www.boxofficemojo.com/movies/?page=weekly&id=werethemillers.htm,395489,358,149804919,37,14,2013
November 8-14 2013,Blue Is the Warmest Color,http://www.boxofficemojo.com/movies/?page=weekly&id=bluewarm.htm,380334,71,876985,0,3,2013
November 8-14 2013,Planes,http://www.boxofficemojo.com/movies/?page=weekly&id=planes.htm,312951,261,89698819,50,14,2013
November 8-14 2013,Prisoners,http://www.boxofficemojo.com/movies/?page=weekly&id=prisoners.htm,252057,225,60342069,46,8,2013
November 8-14 2013,Elysium,http://www.boxofficemojo.com/movies/?page=weekly&id=elysium.htm,247654,192,92830218,115,14,2013
November 8-14 2013,Percy Jackson: Sea of Monsters,http://www.boxofficemojo.com/movies/?page=weekly&id=percyjackson2.htm,231149,216,67771214,90,14,2013
November 8-14 2013,Lee Daniels' The Butler,http://www.boxofficemojo.com/movies/?page=weekly&id=butler.htm,213174,214,115372948,30,13,2013
November 8-14 2013,Machete Kills,http://www.boxofficemojo.com/movies/?page=weekly&id=machete2.htm,209126,212,8008161,0,5,2013
November 8-14 2013,Insidious Chapter 2,http://www.boxofficemojo.com/movies/?page=weekly&id=insidious2.htm,181187,229,83090296,5,9,2013
