title,likes,category,audienceScore,criticsScore,releaseDate
Marvel's The Avengers,2100000,Action,91,92,2012-05-04
The Dark Knight Rises,4917252,Action,90,88,2012-07-20
The Hunger Games,17208379,Action,81,84,2012-03-23
Skyfall,2969956,Action,86,92,2012-11-09
The Hobbit: An Unexpected Journey,4880197,Action,83,64,2012-12-14
The Twilight Saga: Breaking Dawn Part 2,15408196,Drama,71,48,2012-11-15
The Amazing Spider-Man,8660408,Action,78,73,2012-07-03
Brave,8,3296683,85,78,1995-05-26
Madagascar 3: Europe's Most Wanted,13340617,Family,73,79,2012-06-08
Ted,25922,Comedy,74,68,2012-06-29
Dr. Seuss' The Lorax,2549017,Family,64,54,2012-03-02
Wreck-It Ralph,2724899,Family,86,86,2012-11-02
Lincoln,408909,Drama,81,90,2012-11-16
Django Unchained,1917284,Action,92,88,2012-12-25
Ice Age: Continental Drift,56333,Family,63,37,2012-07-13
Snow White and the Huntsman,2592485,Action,52,48,2012-06-01
Les Miserables (2012),1735118,Drama,79,70,2012-12-25
Hotel Transylvania,5494809,Family,72,45,2012-09-28
Taken 2,76882,Action,53,21,2012-10-05
21 Jump Street,2546270,Action,82,85,2012-03-16
Argo,396538,Drama,90,96,2012-10-12
Silver Linings Playbook,261577,Comedy,86,92,2012-11-21
Prometheus,804758,Sci-fi,69,73,2012-06-08
Safe House,491792,Action,64,53,2012-02-10
The Vow,3792357,Drama,63,29,2012-02-10
Life of Pi,1047179,Drama,85,87,2012-11-21
Magic Mike,1326969,Comedy,61,80,2012-06-29
The Bourne Legacy,7073,Action,59,55,2012-08-10
Journey 2: The Mysterious Island,691496,Family,60,42,2012-02-10
Rise of the Guardians,2207563,Family,81,74,2012-11-21
Zero Dark Thirty,249184,Action,80,93,2013-01-11
Think Like a Man,3975539,Comedy,80,53,2012-04-20
Flight,318844,Drama,75,78,2012-11-02
The Campaign,303358,Comedy,51,64,2012-08-10
The Expendables 2,1596144,,67,65,2012-08-17
Wrath of the Titans,877318,Action,50,25,2012-03-30
Jack Reacher,221062,Action,67,61,2012-12-21
Dark Shadows,2250200,Comedy,46,37,2012-05-11
Parental Guidance,39183,Comedy,60,18,2012-12-25
John Carter,762938,Sci-fi,60,51,2012-03-09
Act of Valor,424879,Action,73,25,2012-02-24
This Is 40,102817,Comedy,50,51,2012-12-21
Contraband,735372,Action,58,51,2012-01-13
Looper,551444,Sci-fi,82,93,2012-09-28
Battleship,1973614,Sci-fi,55,34,2012-05-18
Pitch Perfect,2657500,Comedy,83,81,2012-10-05
Mirror Mirror,218590,Comedy,45,49,2012-03-30
Hope Springs,210701,Drama,56,74,2012-08-08
Chronicle (2012),850366,Horror,61,76,2005-12-09
Underworld Awakening,101881,Action,62,26,2012-01-20
The Lucky One,2404832,Drama,68,20,2012-04-20
The Dictator,1260637,Comedy,45,57,2012-05-16
Total Recall (2012),592390,Sci-fi,47,30,2012-08-03
Titanic 3D,50508444,Drama,69,88,2012-04-04
American Reunion,130816,Comedy,63,43,2012-04-06
ParaNorman,561008,Family,72,87,2012-08-17
This Means War,235502,Action,58,26,2012-02-14
Project X,1486869,Undetermined,61,28,2012-03-02
The Woman in Black,1957049,Horror,55,66,2012-02-03
Paranormal Activity 4,20375683,Horror,36,24,2012-10-19
The Devil Inside,1315991,Horror,22,6,2012-01-06
The Odd Life of Timothy Green,530934,Family,68,33,2012-08-15
Ghost Rider: Spirit of Vengeance,7580907,Action,32,18,2012-02-17
The Grey,290107,Action,61,79,2012-01-27
Red Tails,43015,Action,58,40,2012-01-20
The Possession,767895,Horror,100,1,2014-06-13
Diary of a Wimpy Kid: Dog Days,27637,Family,64,51,2012-08-03
Sinister,653373,Horror,61,63,2012-10-12
Beauty and the Beast (3D),12180509,Family,92,93,2012-01-13
Savages (2012),205940,Horror,55,51,2012-07-06
The Best Exotic Marigold Hotel,72270,Drama,79,78,2012-05-04
Moonrise Kingdom,300408,Comedy,86,94,2012-05-25
Here Comes the Boom,736873,Comedy,67,38,2012-10-12
Red Dawn (2012),382171,Action,52,12,2012-11-21
The Three Stooges,847487,Comedy,48,51,2012-04-13
Star Wars: Episode I - The Phantom Menace (in 3D),158515,Sci-fi,60,57,1999-05-09
Resident Evil: Retribution,56816,Horror,51,31,2012-09-14
The Cabin in the Woods,541239,Horror,73,92,2012-04-13
What to Expect When You're Expecting,328246,Comedy,48,22,2012-05-18
Finding Nemo (3D),19675395,Family,86,99,2003-05-30
End of Watch,315336,Action,86,85,2012-09-21
Rock of Ages,453189,Comedy,55,41,2012-06-15
Abraham Lincoln: Vampire Hunter,370731,Action,51,35,2012-06-22
The Guilt Trip,70643,Comedy,40,38,2012-12-19
Lawless,64358,Action,77,58,2012-08-29
That's My Boy,970000,Comedy,53,20,2012-06-15
Trouble with the Curve,158315,Drama,67,51,2012-09-21
Frankenweenie,1655324,Family,70,87,2012-10-05
The Watch,0,Undetermined,40,17,2012-07-27
Step Up Revolution,321709,Drama,69,42,2012-07-27
Tyler Perry's Good Deeds,853011,Drama,77,31,2012-02-24
Monsters Inc. (3D),14467659,Family,90,96,2001-11-02
2016 Obama's America,297395,Documentary,73,26,2012-07-13
House at the End of The Street,353735,Horror,42,10,2012-09-21
The Pirates! Band of Misfits,27556,Family,60,86,2012-04-27
Joyful Noise,281552,Documentary,66,33,2012-01-13
Chimpanzee,27800,Documentary,75,74,2012-04-20
The Five-Year Engagement,148284,Comedy,52,63,2012-04-27
